37_7072,37_7093,37_7103,37_7066,37_7105,37_7099,37_7096,37_7082,37_7078,37_7095,37_7106,37_7083
-0.6143394016477056,-0.619693722811385,-0.618103006840047,-0.6159325123697217,-0.6212196464474908,-0.6184889459709789,-0.613768569740429,-0.6184075124479933,-0.6098375372719614,-0.6117886515664095,-0.6173623264740049,-0.6222857075997233
-0.6188366084786816,-0.6214297110271726,-0.6236925433892325,-0.6190356499975659,-0.6247019799052593,-0.6234831831326206,-0.6171856412945539,-0.624154768419087,-0.6220951191995138,-0.6170854823927356,-0.6208178142112459,-0.6302529292351498
-0.624969058859153,-0.6236455024142371,-0.62742489103959,-0.6242865432442974,-0.6282109003490218,-0.6288374629752119,-0.6201324893322661,-0.6282839462012794,-0.6320968553161207,-0.6225771496915634,-0.6270120664011019,-0.6354115526291182
-0.6310951110362938,-0.6284657216928707,-0.6308979175819579,-0.6296428615734719,-0.631500570260146,-0.637466782229265,-0.6248154953530536,-0.63419198218617,-0.6391197800819146,-0.6283908987657703,-0.6320154496625974,-0.6419798134152912
-0.634874201482568,-0.634329099619467,-0.6353669033552719,-0.634377665003193,-0.6372408577923204,-0.6426594180753131,-0.6304305866450077,-0.6389236222243995,-0.6416059531815461,-0.6328024267636299,-0.636068681361508,-0.6473065595337327
-0.6386702999962107,-0.6423389003285312,-0.6413184318178418,-0.6402719123297522,-0.6441319557168469,-0.6469228603397382,-0.6353992108554715,-0.6471685436056291,-0.6448848225424678,-0.6362421314669116,-0.6428311394016243,-0.6548471663844985
-0.6448074141559289,-0.6494615956426818,-0.6495422320594628,-0.6432513858042754,-0.6490146670700763,-0.6484245533666384,-0.6389364248582508,-0.6508586045111835,-0.6554537489538458,-0.6390542968632248,-0.6498381741451863,-0.6590788439374701
-0.6518581364430739,-0.6583931912478824,-0.6581314096820048,-0.6535797562500464,-0.6559098923191363,-0.6581996492466884,-0.6456758757952957,-0.6608248960216143,-0.6601191342582647,-0.6453044753153933,-0.6551626559156556,-0.6675674933758995
-0.6574016503415882,-0.6620062000999164,-0.6652638075909858,-0.6617974046335742,-0.6628914686892652,-0.6583390570292516,-0.6524871769632272,-0.666172553790682,-0.6657744272904315,-0.6540324572221258,-0.6601130575836077,-0.6749076046762644
-0.6648402468203645,-0.6642534172680363,-0.6755146454798724,-0.6698361626654242,-0.6689296467649171,-0.6679431259420572,-0.6626417127310613,-0.6762148389122984,-0.6752514465547598,-0.6602347787994294,-0.6668121764077894,-0.6785558875491061
-0.6721673618043194,-0.6739544137023673,-0.6800317988092428,-0.6804387686070335,-0.6769647445869384,-0.673810901986532,-0.6651656653344359,-0.6853470246988214,-0.6831704195725847,-0.6690803557671531,-0.6724444924347288,-0.6821122909906603
-0.6806180398609044,-0.676892371540671,-0.6938123329116004,-0.6911212716235176,-0.6827737316560585,-0.6847318408289573,-0.6791197978413803,-0.6988140706773109,-0.6941565320181141,-0.6747462680709336,-0.6820758954543692,-0.6899626375890392
-0.6848010627513341,-0.6891420048784787,-0.6857497941140165,-0.6925021357607022,-0.6932139256721529,-0.6906705196077525,-0.683468044767663,-0.7075408493695585,-0.7051111958240912,-0.6796349267374068,-0.6956186592967523,-0.6979429524986642
-0.6920624605417485,-0.6982588899900386,-0.6955611299552716,-0.6976408363380577,-0.7016318317537127,-0.6998937937935525,-0.6979482403362901,-0.7186802969127107,-0.7120959258577975,-0.6874227100954851,-0.7011401085708656,-0.7082680286307146
-0.7063187472516848,-0.7051725236824892,-0.7074448630528649,-0.7045081902220562,-0.7084441358501616,-0.7092476883520114,-0.7044899066651076,-0.7277387155249087,-0.721000622421972,-0.6967590870059026,-0.7104639081448104,-0.7152809496356596
-0.7165616905574594,-0.7149866379356841,-0.7186001289585708,-0.7132279888865402,-0.7198359557521021,-0.7180039613163951,-0.7076329456746641,-0.7405663772297002,-0.733777811119505,-0.70501088739808,-0.7176347290538759,-0.7257596312535929
-0.7234241012818926,-0.7209980369046771,-0.7313357679907808,-0.7205640087352603,-0.7316343825126674,-0.7236234857393171,-0.7109532165170582,-0.7478042985752853,-0.7402348763484898,-0.7108729665834514,-0.7262936496960086,-0.7335107139302641
-0.7346520480464784,-0.7331465022173012,-0.7541035791329451,-0.7352894471649548,-0.7405887829271529,-0.7342320048533614,-0.724766212441541,-0.7622709049492986,-0.7597693987757277,-0.7220729224871821,-0.7348916583063384,-0.7475864886686122
-0.7482717618441501,-0.7406033609833219,-0.7691573895610153,-0.7474029086294776,-0.7489146375647376,-0.7435013093128862,-0.7299044096250147,-0.7747985537660547,-0.7725402394189494,-0.733382975887666,-0.750603410262837,-0.7605999665268952
-0.7467244524072523,-0.7521430023755868,-0.7760195073157018,-0.7553590368860175,-0.7601936783427227,-0.7519894337225672,-0.7481870537842427,-0.7810761494493785,-0.7898850455774018,-0.7502602359828693,-0.7625097703972726,-0.7707640004829099
-0.775758863564213,-0.7604552498184162,-0.7855616134206989,-0.76268924708076,-0.7696656952553146,-0.7681060758749407,-0.7624358890669969,-0.787203602410861,-0.8017368881978899,-0.754417558311648,-0.767007657397073,-0.7826284801885982
-0.7824246567827748,-0.7754021906401303,-0.7955917727054088,-0.7785729368902011,-0.7858844760615429,-0.7801701559558174,-0.7726244302987493,-0.8006128420196645,-0.8169647946725578,-0.7776280985635059,-0.7771649461516293,-0.7934180612153888
-0.7924242132316591,-0.7908686380191865,-0.8057053580425495,-0.7864831247288288,-0.8086945517380046,-0.795615466776483,-0.7816372944937252,-0.8142310573361894,-0.834594224826243,-0.7848299329931278,-0.792174037723091,-0.811012010578549
-0.8103620129164013,-0.8072330897793771,-0.815189004727686,-0.8039253396005741,-0.8179605724068989,-0.8135873573236782,-0.7968768000094419,-0.8318201047217926,-0.8522045521863391,-0.8089202158261395,-0.8130157934877431,-0.8269909240970317
-0.8304287241781239,-0.8196109958611781,-0.8315930176226581,-0.8194281614089314,-0.8336531455791804,-0.8255660925661925,-0.8095426893656789,-0.8437751411231148,-0.8654836449903724,-0.8197908491768657,-0.8282704792346332,-0.843058874714433
-0.854073718977108,-0.8292400115657572,-0.8512263778102552,-0.8307172878832396,-0.8457139567288279,-0.8356722807289827,-0.8231480133075884,-0.8616105159489134,-0.8867214905360046,-0.8250160698889937,-0.8422119852188035,-0.8617710713612585
-0.8635177330206967,-0.8370913904602006,-0.8651439559973761,-0.8459547941953565,-0.8602871778322039,-0.8457892175341593,-0.8387754078308377,-0.8748035903980144,-0.8920807450272445,-0.8305439825393738,-0.8513003561707564,-0.8788289355848284
-0.8848846016803043,-0.8546783948289753,-0.8847591183626335,-0.8610388160001776,-0.8747545553978361,-0.8635860036884264,-0.8636403908435994,-0.8987330672768258,-0.9143321913633541,-0.853542598758537,-0.8704090326462415,-0.9062656427645828
-0.9109468195782489,-0.8792451101797794,-0.9046036224208511,-0.8829039899401796,-0.9012150009135798,-0.8828296289491706,-0.8750482507310844,-0.9208465033078109,-0.9264017034028003,-0.8620826372002279,-0.8851006035513376,-0.9292884631847718
-0.9252294601462034,-0.8966165343879444,-0.9217639583416704,-0.8979625945319492,-0.9212473941407655,-0.9037862007518361,-0.9112439127659842,-0.9381146805149831,-0.9484057359660135,-0.8925062534256945,-0.909758983775607,-0.9471778243289333
-0.9395988229131276,-0.9214612987695121,-0.9445834721054965,-0.9179390000300557,-0.9287874115181731,-0.921140948219632,-0.9308295029655134,-0.9582699902490208,-0.9724190879862462,-0.9162011917121429,-0.9343728032235779,-0.9761729365832277
-0.9756245873129472,-0.9372904092824581,-0.961077830808494,-0.9351979506693726,-0.9458724736030653,-0.9549448206151746,-0.9538163420960837,-0.9765947833533626,-1.002298919736825,-0.9331361066514703,-0.9531224823281281,-1.0007444417256461
-0.9935415625866753,-0.9509259057492159,-0.9907045317580843,-0.9572964058655056,-0.9711268025863191,-0.9837303964635178,-0.9785445061403448,-1.0064728136280796,-1.0319186952073207,-0.9481173935631355,-0.9672088469540776,-1.0199340001351125
-1.0199875065449562,-0.9727526578671212,-1.0145781133095806,-0.9841780708541299,-1.0061980087356461,-1.0027855962784313,-1.018378051833538,-1.033597111923444,-1.0399317452920278,-0.9734649796420641,-0.9889225513421775,-1.031159793989361
-1.0329782240207903,-0.9989286063520024,-1.0338965187598737,-1.000706627636875,-1.0318387214726816,-1.0208724523342563,-1.0425533549299892,-1.060868244099948,-1.0826091089510401,-0.9945243550899034,-1.0197967162917416,-1.0542484625020005
-1.064442905478062,-1.022012925235126,-1.0662035845614608,-1.0281989677197874,-1.055264778854843,-1.0337159142829697,-1.062599713555921,-1.0926277457124045,-1.1182573260674769,-1.0171458241356564,-1.0454968717646986,-1.0697315823769487
-1.075407840114372,-1.0383333285526486,-1.0996496660198731,-1.049243759664885,-1.0705130786641073,-1.0550255889737952,-1.0700456836344592,-1.1215743764650643,-1.1432816484520927,-1.0431297928358636,-1.068119868167886,-1.1015049175405989
-1.1202591564664075,-1.0697023801655652,-1.1250255201875476,-1.0814586350202195,-1.1026423132729253,-1.091010271241037,-1.1155911894691046,-1.1681475571050366,-1.1964511746760462,-1.084484485981016,-1.0998023366436585,-1.1492064028413462
-1.1639887840569632,-1.1013414641460053,-1.1486246361582821,-1.1077452681313869,-1.1273182266244626,-1.1318551293373766,-1.116777912600289,-1.2072202142996427,-1.225171729046663,-1.1034394175115594,-1.13246940437796,-1.1825721313014907
-1.1921794627700129,-1.148643603195622,-1.1805976748343343,-1.1443566349083012,-1.1687735105762336,-1.1721883998886993,-1.1615907825182261,-1.2375821223630128,-1.2444515626075168,-1.1636507574212849,-1.1639398538743955,-1.2195960751378991
-1.1896429352809619,-1.1600686295222502,-1.2074314727297697,-1.1671290429083645,-1.2101385275140606,-1.2086975710055796,-1.1891449720104101,-1.2868148178314436,-1.260409953983069,-1.1962214597313898,-1.1951176820921847,-1.272359007674446
-1.2678597777674725,-1.2251750287830436,-1.253384963032869,-1.2028456895014727,-1.2416205288208593,-1.2522183062147783,-1.2400252807066021,-1.3285397301688056,-1.308504005556277,-1.2344675060311587,-1.2399780607211959,-1.3186314059227389
-1.32361552085804,-1.2451605670959451,-1.3180021977505918,-1.238251337793628,-1.2652499349963389,-1.2813468153942553,-1.267899781477914,-1.3611368130772834,-1.3428783549811092,-1.2756257781816696,-1.2844062185698872,-1.3548874595250917
-1.3621112068545063,-1.3126996360236485,-1.3442001630613627,-1.275710030012612,-1.3017180128311678,-1.3085623642937962,-1.3109779163114603,-1.3802226203640735,-1.392038257101506,-1.3419379615640252,-1.339983509278564,-1.3816585192030661
-1.395645390033289,-1.3430210682166985,-1.388644464933211,-1.301212390778966,-1.3535938104729581,-1.3435873138482195,-1.3546742111402237,-1.4194639082989986,-1.4312355907841283,-1.3822131307281542,-1.3776171676636075,-1.419271951557246
-1.428024109054037,-1.3574963455083886,-1.4227944692407792,-1.3432903235325981,-1.3967455634374923,-1.390157079461563,-1.3956265303187232,-1.4457833272917053,-1.4997161056314308,-1.4156436185406196,-1.409958789055731,-1.450054971677551
-1.4479576937386303,-1.3728450708911117,-1.4640718380162687,-1.375046005951376,-1.4347112488915963,-1.4544170077345164,-1.4220744836086814,-1.4997642093574677,-1.5300270583997664,-1.428121731438142,-1.4452757000528842,-1.4827925496419732
-1.5140274159945686,-1.4372970152549094,-1.5050403458848853,-1.4303184503252724,-1.4879144422494535,-1.5215155183945757,-1.4716268917105748,-1.5807794298202846,-1.6127511493826314,-1.5040329439949174,-1.4870616919121376,-1.5704250385953087
-1.5736126990060895,-1.461054737400092,-1.5799906249942386,-1.463866334140628,-1.5427611671696668,-1.577310867384871,-1.5149542081390037,-1.637427560819666,-1.656803136332805,-1.5061051965732282,-1.557205332106054,-1.6137858781359222
-1.632497518874386,-1.5462802007985665,-1.6366921352332104,-1.5193892898122514,-1.5955844279042373,-1.63585398589816,-1.554639466447686,-1.7002862902557032,-1.7400471330763403,-1.58081679257238,-1.6125057294276677,-1.680410217393695
-1.691105341363296,-1.5999633771922548,-1.6959853020813374,-1.5760420816687155,-1.6479077557166786,10000,-1.6296654370696635,-1.7898715530876916,-1.8065100000554644,-1.6363994423913912,10000,-1.7422842758436046
10000,10000,10000,-1.6299116320917195,-1.7066114502435075,10000,-1.6871863025545755,-1.8684280031583946,10000,10000,10000,-1.8016843962164386
10000,10000,10000,10000,10000,10000,10000,-1.9435394522486091,10000,10000,10000,-1.8689285189682388
