36_1_6837,36_1_6823,36_1_6811,36_1_6820,36_1_6829,36_1_6806,36_1_6826,36_1_6836,36_1_6813,36_1_6816,36_1_6840,36_1_6828
-0.29146701650674345,-0.2915659709195495,-0.2915688317218468,-0.2915667469642713,-0.29152714595838347,-0.29155810982899766,-0.29156987878778295,-0.29166713242215536,-0.29156342520526124,-0.2915618495428518,-0.2915292600134478,-0.29154514297065504
-0.6088943310301431,-0.6087871658618838,-0.6087827567095871,-0.6087874575250751,-0.6087408121117122,-0.6087857645770356,-0.6087925737418587,-0.608872969356149,-0.6087818136454004,-0.6087817594256251,-0.6100974486672683,-0.6087598509871128
0.6858762127054163,0.6882013168310763,0.6883205719657326,0.6881899599226315,0.6881466848383511,0.6881635301986933,0.6882234823568467,0.688996272061857,0.6882190850281944,0.6882042844612357,0.677062983193224,0.6882135871136796
-0.4242125742073455,-0.4240547948729656,-0.424046445855204,-0.42405107254094077,-0.4240051990333882,-0.42406432153391904,-0.4240603581262903,-0.42413996080419736,-0.4240492768913384,-0.424050792199111,-0.4254870928427579,-0.4240250034456139
-0.3194428704177099,-0.3194520752867902,-0.3194486947064945,-0.3194487268225288,-0.3194326903574307,-0.31946125520349256,-0.319453622227428,-0.3194716746875059,-0.3194510604554779,-0.31945170998422867,-0.31995248552355804,-0.3194405831602509
0.10364650238702922,0.10387711680781564,0.10388925780226543,0.1038807868826197,0.10392137337408514,0.103864381138834,0.10387227245651331,0.10382635114286387,0.10388291808560268,0.10388075417523623,0.10199536070658155,0.10390509190827402
-0.26592498937226594,-0.2659683106972821,-0.26596776886218976,-0.26596411490697136,-0.26593160090047974,-0.26597546398466676,-0.26597191088711725,-0.26605295051744804,-0.26596620468481547,-0.2659665826437063,-0.2662552471056401,-0.26594809683274434
-0.24781494063901732,-0.24756499587311964,-0.24755395867959606,-0.2475639094874893,-0.24749691446192656,-0.2475671636141641,-0.2475722703531602,-0.24768534815358123,-0.24755630878456003,-0.2475576392459189,-0.24952492374747948,-0.24752374641114017
0.2899637742757477,0.289957461598469,0.28996064798850085,0.2899603826027075,0.2899819210856691,0.28995003865656344,0.2899553358421514,0.28992231507306343,0.28995904524521166,0.2899585684563988,0.289448675540811,0.28997173172406576
-0.8499784517530884,-0.8496717454063685,-0.8496590432269358,-0.8496749591652275,-0.8495936477841326,-0.8496626191616485,-0.8496796632422843,-0.8498060214269643,-0.8496607037478299,-0.849661283810903,-0.8519418528755196,-0.8496239387574889
