36_2_6594,36_2_6588,36_2_6721,36_2_6718,36_2_6762,36_2_6646,36_2_6615,36_2_6703,36_2_6749,36_2_6754,36_2_6593,36_2_6658,36_2_6751,36_2_6740,36_2_6664,36_2_6682,36_2_6679,36_2_6691,36_2_6700,36_2_6629,36_2_6755,36_2_6598,36_2_6764,36_2_6702,36_2_6709
-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382,-0.5857756350237382
-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082,-0.5884860016598082
-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017,-0.5927356117754017
-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623,-0.5945090860910623
-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463,-0.5998595960694463
-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967,-0.6002592743933967
-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903,-0.6047096048275903
-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057,-0.6083452806467057
-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583,-0.61065260269583
-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964,-0.616100846772964
